Familia,Tipo,FechaCompleta,Porcentaje,Valor,BajasEmisiones
Renovable,Hidráulica,2019-02-28T00:00:00.000+01:00,0.322007966287742,70597.07,true
Renovable,Hidráulica,2019-03-01T00:00:00.000+01:00,0.37292604216034425,77828.26,true
Renovable,Hidráulica,2019-03-02T00:00:00.000+01:00,0.24277640123421537,62615.899,true
Renovable,Hidráulica,2019-03-03T00:00:00.000+01:00,0.16882958550126798,48510.165,true
Renovable,Hidráulica,2019-03-04T00:00:00.000+01:00,0.16419243358097413,56357.327,true
Renovable,Hidráulica,2019-03-05T00:00:00.000+01:00,0.21681205836678913,58100.225,true
Renovable,Hidráulica,2019-03-06T00:00:00.000+01:00,0.14110202005754732,58857.557,true
Renovable,Hidráulica,2019-03-07T00:00:00.000+01:00,0.24965637871984192,75680.486,true
Renovable,Hidráulica,2019-03-08T00:00:00.000+01:00,0.46067833615716564,96360.601,true
Renovable,Hidráulica,2019-03-09T00:00:00.000+01:00,0.4150262994980084,95355.217,true
Renovable,Hidráulica,2019-03-10T00:00:00.000+01:00,0.27173142500415537,67930.593,true
Renovable,Hidráulica,2019-03-11T00:00:00.000+01:00,0.343468610024736,93095.752,true
Renovable,Hidráulica,2019-03-12T00:00:00.000+01:00,0.28513827792700197,84070.739,true
Renovable,Hidráulica,2019-03-13T00:00:00.000+01:00,0.196196099218271,67874.114,true
Renovable,Hidráulica,2019-03-14T00:00:00.000+01:00,0.2818954207447244,85056.201,true
Renovable,Hidráulica,2019-03-15T00:00:00.000+01:00,0.37493105994716375,98765.013,true
Renovable,Hidráulica,2019-03-16T00:00:00.000+01:00,0.30788279604290303,76181.066,true
Renovable,Hidráulica,2019-03-17T00:00:00.000+01:00,0.13799707271995684,42552.491,true
Renovable,Hidráulica,2019-03-18T00:00:00.000+01:00,0.21515276655135998,62634.501,true
Renovable,Hidráulica,2019-03-19T00:00:00.000+01:00,0.2080637798050461,63470.908,true
Renovable,Hidráulica,2019-03-20T00:00:00.000+01:00,0.2118868732519608,65301.482,true
Renovable,Hidráulica,2019-03-21T00:00:00.000+01:00,0.30627996901583376,81165.931,true
Renovable,Hidráulica,2019-03-22T00:00:00.000+01:00,0.4121200108913486,105209.649,true
Renovable,Hidráulica,2019-03-23T00:00:00.000+01:00,0.33074026934694967,74580.473,true
Renovable,Hidráulica,2019-03-24T00:00:00.000+01:00,0.2025878407034813,47572.518,true
Renovable,Hidráulica,2019-03-25T00:00:00.000+01:00,0.13665142217052448,48328.245,true
Renovable,Hidráulica,2019-03-26T00:00:00.000+01:00,0.11189253207040221,44191.178,true
Renovable,Hidráulica,2019-03-27T00:00:00.000+01:00,0.1489655711233448,49260.606,true
Renovable,Hidráulica,2019-03-28T00:00:00.000+01:00,0.2012651535742364,60620.753,true
Renovable,Hidráulica,2019-03-29T00:00:00.000+01:00,0.26341207605408434,72619.928,true
Renovable,Hidráulica,2019-03-30T00:00:00.000+01:00,0.22617356036558828,50638.578,true
Renovable,Hidráulica,2019-03-31T00:00:00.000+01:00,0.37818535787983665,61880.832,true
Renovable,Hidráulica,2019-04-01T00:00:00.000+02:00,0.5593154606379688,86710.531,true
Renovable,Hidráulica,2019-04-02T00:00:00.000+02:00,0.4677799957385949,83164.935,true
Renovable,Hidráulica,2019-04-03T00:00:00.000+02:00,0.2371072584718081,65400.943,true
Renovable,Hidráulica,2019-04-04T00:00:00.000+02:00,0.2325651880657643,62710.157,true
Renovable,Hidráulica,2019-04-05T00:00:00.000+02:00,0.24853963887647088,73535.245,true
Renovable,Hidráulica,2019-04-06T00:00:00.000+02:00,0.16167565247628374,55856.409,true
Renovable,Hidráulica,2019-04-07T00:00:00.000+02:00,0.17203833229656348,50757.459,true
Renovable,Hidráulica,2019-04-08T00:00:00.000+02:00,0.21220850352862963,59284.298,true
Renovable,Hidráulica,2019-04-09T00:00:00.000+02:00,0.16549010154337515,55846.571,true
Renovable,Hidráulica,2019-04-10T00:00:00.000+02:00,0.1844317983217209,57950.714,true
Renovable,Hidráulica,2019-04-11T00:00:00.000+02:00,0.22492224105458158,66323.71,true
Renovable,Hidráulica,2019-04-12T00:00:00.000+02:00,0.24344442156245752,65634.563,true
Renovable,Hidráulica,2019-04-13T00:00:00.000+02:00,0.2807424708889142,56056.423,true
Renovable,Hidráulica,2019-04-14T00:00:00.000+02:00,0.2446479259677255,49512.139,true
Renovable,Hidráulica,2019-04-15T00:00:00.000+02:00,0.20912310277299598,59450.39,true
Renovable,Hidráulica,2019-04-16T00:00:00.000+02:00,0.2972665026466456,67173.002,true
Renovable,Hidráulica,2019-04-17T00:00:00.000+02:00,0.22220420641228092,75126.82,true
Renovable,Hidráulica,2019-04-18T00:00:00.000+02:00,0.34372191054761303,72748.267,true
Renovable,Hidráulica,2019-04-19T00:00:00.000+02:00,0.1960131558195398,51486.163,true
Renovable,Hidráulica,2019-04-20T00:00:00.000+02:00,0.15953650049291468,48578.534,true
Renovable,Hidráulica,2019-04-21T00:00:00.000+02:00,0.2731646019102976,57292.882,true
Renovable,Hidráulica,2019-04-22T00:00:00.000+02:00,0.3129206718235493,58267.131,true
Renovable,Hidráulica,2019-04-23T00:00:00.000+02:00,0.21811221476607706,60092.265,true
