Fecha,Valor_Mercado_Spot,Porcentaje_Mercado_Spot,Valor_PVPC,Porcentaje_PVPC
2014-09-18T12:00:00.000+02:00,64.03,1.0,,
2014-09-19T12:00:00.000+02:00,66.6,1.0,,
2014-09-17T14:00:00.000+02:00,54.87,1.0,,
2014-09-15T21:00:00.000+02:00,73.2,1.0,,
2014-09-25T11:00:00.000+02:00,67.0,1.0,,
2014-09-28T14:00:00.000+02:00,56.5,1.0,,
2014-09-03T03:00:00.000+02:00,49.1,1.0,,
2014-09-05T02:00:00.000+02:00,51.19,1.0,,
2014-09-15T15:00:00.000+02:00,64.2,1.0,,
2014-09-22T07:00:00.000+02:00,64.2,1.0,,
2014-09-17T10:00:00.000+02:00,55.1,1.0,,
2014-09-25T07:00:00.000+02:00,56.0,1.0,,
2014-09-19T21:00:00.000+02:00,71.1,1.0,,
2014-09-27T13:00:00.000+02:00,61.54,1.0,,
2014-09-10T06:00:00.000+02:00,62.6,1.0,,
2014-09-24T15:00:00.000+02:00,64.35,1.0,,
2014-09-08T02:00:00.000+02:00,48.1,1.0,,
2014-09-07T04:00:00.000+02:00,49.1,1.0,,
2014-09-16T13:00:00.000+02:00,57.98,1.0,,
2014-09-01T22:00:00.000+02:00,60.0,1.0,,
2014-09-02T01:00:00.000+02:00,48.1,1.0,,
2014-09-09T09:00:00.000+02:00,68.37,1.0,,
2014-09-11T13:00:00.000+02:00,62.6,1.0,,
2014-09-23T09:00:00.000+02:00,69.01,1.0,,
2014-09-11T05:00:00.000+02:00,44.0,1.0,,
2014-09-08T14:00:00.000+02:00,66.1,1.0,,
2014-09-13T07:00:00.000+02:00,55.6,1.0,,
2014-09-04T09:00:00.000+02:00,71.56,1.0,,
2014-09-23T20:00:00.000+02:00,72.0,1.0,,
2014-09-01T11:00:00.000+02:00,63.44,1.0,,
2014-09-04T20:00:00.000+02:00,71.1,1.0,,
2014-09-20T09:00:00.000+02:00,61.22,1.0,,
2014-09-26T13:00:00.000+02:00,67.6,1.0,,
2014-09-20T17:00:00.000+02:00,56.6,1.0,,
2014-09-12T14:00:00.000+02:00,64.11,1.0,,
2014-09-06T19:00:00.000+02:00,59.5,1.0,,
2014-09-11T06:00:00.000+02:00,46.54,1.0,,
2014-09-27T20:00:00.000+02:00,65.3,1.0,,
2014-09-21T19:00:00.000+02:00,55.87,1.0,,
2014-09-12T03:00:00.000+02:00,44.8,1.0,,
2014-09-29T07:00:00.000+02:00,69.05,1.0,,
2014-09-12T23:00:00.000+02:00,63.84,1.0,,
2014-09-11T09:00:00.000+02:00,59.65,1.0,,
2014-09-20T11:00:00.000+02:00,64.03,1.0,,
2014-09-25T03:00:00.000+02:00,39.5,1.0,,
2014-09-12T08:00:00.000+02:00,62.89,1.0,,
2014-09-28T19:00:00.000+02:00,62.84,1.0,,
2014-09-07T13:00:00.000+02:00,55.96,1.0,,
2014-09-01T02:00:00.000+02:00,35.1,1.0,,
2014-09-14T04:00:00.000+02:00,50.63,1.0,,
2014-09-01T20:00:00.000+02:00,64.08,1.0,,
2014-09-19T15:00:00.000+02:00,60.2,1.0,,
2014-09-14T16:00:00.000+02:00,44.4,1.0,,
2014-09-28T04:00:00.000+02:00,45.1,1.0,,
2014-09-10T22:00:00.000+02:00,64.08,1.0,,
2014-09-27T19:00:00.000+02:00,56.5,1.0,,
2014-09-02T16:00:00.000+02:00,60.0,1.0,,
2014-09-03T11:00:00.000+02:00,65.03,1.0,,
2014-09-14T23:00:00.000+02:00,62.18,1.0,,
2014-09-24T08:00:00.000+02:00,65.1,1.0,,
2014-09-28T23:00:00.000+02:00,68.39,1.0,,
