Fecha,Valor_Mercado_Spot,Porcentaje_Mercado_Spot,Valor_PVPC,Porcentaje_PVPC
2018-03-25T19:00:00.000+02:00,45.16,1.0,,
2018-03-14T02:00:00.000+01:00,37.02,1.0,,
2018-03-14T12:00:00.000+01:00,44.02,1.0,,
2018-03-21T14:00:00.000+01:00,45.79,1.0,,
2018-03-28T23:00:00.000+02:00,38.46,1.0,,
2018-03-07T17:00:00.000+01:00,53.7,1.0,,
2018-03-04T08:00:00.000+01:00,40.0,1.0,,
2018-03-19T02:00:00.000+01:00,39.91,1.0,,
2018-03-26T01:00:00.000+02:00,39.53,1.0,,
2018-03-21T01:00:00.000+01:00,37.89,1.0,,
2018-03-08T00:00:00.000+01:00,41.84,1.0,,
2018-03-19T06:00:00.000+01:00,40.21,1.0,,
2018-03-25T01:00:00.000+01:00,45.0,1.0,,
2018-03-31T04:00:00.000+02:00,2.3,1.0,,
2018-03-06T23:00:00.000+01:00,48.01,1.0,,
2018-03-03T08:00:00.000+01:00,38.0,1.0,,
2018-03-10T08:00:00.000+01:00,29.61,1.0,,
2018-03-21T09:00:00.000+01:00,49.38,1.0,,
2018-03-28T14:00:00.000+02:00,45.7,1.0,,
2018-03-13T02:00:00.000+01:00,34.21,1.0,,
2018-03-08T19:00:00.000+01:00,56.84,1.0,,
2018-03-15T00:00:00.000+01:00,25.36,1.0,,
2018-03-31T06:00:00.000+02:00,2.3,1.0,,
2018-03-27T15:00:00.000+02:00,42.31,1.0,,
2018-03-24T00:00:00.000+01:00,30.0,1.0,,
2018-03-05T18:00:00.000+01:00,56.68,1.0,,
2018-03-09T06:00:00.000+01:00,37.93,1.0,,
2018-03-29T05:00:00.000+02:00,25.98,1.0,,
2018-03-15T04:00:00.000+01:00,5.48,1.0,,
2018-03-26T13:00:00.000+02:00,52.52,1.0,,
2018-03-17T22:00:00.000+01:00,57.89,1.0,,
2018-03-24T12:00:00.000+01:00,19.98,1.0,,
2018-03-01T15:00:00.000+01:00,49.73,1.0,,
2018-03-19T20:00:00.000+01:00,54.02,1.0,,
2018-03-20T06:00:00.000+01:00,35.0,1.0,,
2018-03-03T21:00:00.000+01:00,57.45,1.0,,
2018-03-02T03:00:00.000+01:00,37.0,1.0,,
2018-03-31T15:00:00.000+02:00,5.48,1.0,,
2018-03-15T01:00:00.000+01:00,12.4,1.0,,
2018-03-23T12:00:00.000+01:00,51.87,1.0,,
2018-03-10T16:00:00.000+01:00,29.03,1.0,,
2018-03-26T17:00:00.000+02:00,45.09,1.0,,
2018-03-27T05:00:00.000+02:00,38.98,1.0,,
2018-03-02T16:00:00.000+01:00,50.25,1.0,,
2018-03-14T07:00:00.000+01:00,50.58,1.0,,
2018-03-03T07:00:00.000+01:00,38.0,1.0,,
2018-03-03T20:00:00.000+01:00,56.56,1.0,,
2018-03-23T14:00:00.000+01:00,49.23,1.0,,
2018-03-27T19:00:00.000+02:00,48.41,1.0,,
2018-03-07T08:00:00.000+01:00,61.79,1.0,,
2018-03-30T08:00:00.000+02:00,2.35,1.0,,
2018-03-09T07:00:00.000+01:00,45.67,1.0,,
2018-03-26T03:00:00.000+02:00,38.01,1.0,,
2018-03-20T17:00:00.000+01:00,36.3,1.0,,
2018-03-30T00:00:00.000+02:00,7.5,1.0,,
2018-03-04T15:00:00.000+01:00,40.16,1.0,,
2018-03-06T22:00:00.000+01:00,52.39,1.0,,
2018-03-23T18:00:00.000+01:00,41.69,1.0,,
2018-03-24T22:00:00.000+01:00,45.45,1.0,,
2018-03-12T06:00:00.000+01:00,27.24,1.0,,
2018-03-10T17:00:00.000+01:00,29.89,1.0,,
2018-03-07T18:00:00.000+01:00,60.95,1.0,,
2018-03-30T23:00:00.000+02:00,5.09,1.0,,
2018-03-14T19:00:00.000+01:00,37.61,1.0,,
2018-03-06T15:00:00.000+01:00,48.76,1.0,,
2018-03-10T15:00:00.000+01:00,32.0,1.0,,
2018-03-31T05:00:00.000+02:00,2.3,1.0,,
2018-03-05T23:00:00.000+01:00,49.08,1.0,,
2018-03-26T12:00:00.000+02:00,53.99,1.0,,
2018-03-13T13:00:00.000+01:00,50.32,1.0,,
2018-03-02T19:00:00.000+01:00,47.73,1.0,,
2018-03-24T21:00:00.000+01:00,49.8,1.0,,
2018-03-07T10:00:00.000+01:00,56.69,1.0,,
2018-03-15T19:00:00.000+01:00,53.69,1.0,,
2018-03-30T17:00:00.000+02:00,2.3,1.0,,
2018-03-06T09:00:00.000+01:00,59.39,1.0,,
2018-03-12T20:00:00.000+01:00,70.0,1.0,,
2018-03-05T06:00:00.000+01:00,40.22,1.0,,
2018-03-05T01:00:00.000+01:00,38.37,1.0,,
2018-03-23T19:00:00.000+01:00,44.67,1.0,,
2018-03-27T01:00:00.000+02:00,38.83,1.0,,
2018-03-09T21:00:00.000+01:00,44.21,1.0,,
2018-03-06T20:00:00.000+01:00,59.9,1.0,,
2018-03-14T21:00:00.000+01:00,41.11,1.0,,
2018-03-10T21:00:00.000+01:00,36.1,1.0,,
2018-03-11T05:00:00.000+01:00,3.98,1.0,,
2018-03-03T16:00:00.000+01:00,41.7,1.0,,
2018-03-09T15:00:00.000+01:00,42.19,1.0,,
2018-03-08T02:00:00.000+01:00,40.14,1.0,,
2018-03-02T17:00:00.000+01:00,46.0,1.0,,
