Familia,Tipo,Compuesto,Porcentaje,Valor,Fecha,BajasEmisiones,Año,Mes
Renovable,Hidráulica,false,0.2762092127191694,78179.148,2023-01-01T01:00:00.000+01:00,true,2023,1
Renovable,Hidráulica,false,0.49380029282016413,137773.105,2023-01-02T01:00:00.000+01:00,true,2023,1
Renovable,Hidráulica,false,0.519116663652467,155141.995,2023-01-03T01:00:00.000+01:00,true,2023,1
Renovable,Hidráulica,false,0.48975731743046413,139503.134,2023-01-04T01:00:00.000+01:00,true,2023,1
Renovable,Hidráulica,false,0.5407222375543369,144485.216,2023-01-05T01:00:00.000+01:00,true,2023,1
Renovable,Hidráulica,false,0.45452736660399673,132905.961,2023-01-06T01:00:00.000+01:00,true,2023,1
Renovable,Hidráulica,false,0.1785149768691747,76816.159,2023-01-07T01:00:00.000+01:00,true,2023,1
Renovable,Hidráulica,false,0.17116304730861318,83287.381,2023-01-08T01:00:00.000+01:00,true,2023,1
Renovable,Hidráulica,false,0.22151291574391582,103921.528,2023-01-09T01:00:00.000+01:00,true,2023,1
Renovable,Hidráulica,false,0.3551125054757619,150833.316,2023-01-10T01:00:00.000+01:00,true,2023,1
Renovable,Hidráulica,false,0.3657339224404378,147320.516,2023-01-11T01:00:00.000+01:00,true,2023,1
Renovable,Hidráulica,false,0.40544331315946647,159624.344,2023-01-12T01:00:00.000+01:00,true,2023,1
Renovable,Hidráulica,false,0.41599598384099756,163310.077,2023-01-13T01:00:00.000+01:00,true,2023,1
Renovable,Hidráulica,false,0.3526951373759474,140292.936,2023-01-14T01:00:00.000+01:00,true,2023,1
Renovable,Hidráulica,false,0.18628774306168905,79957.342,2023-01-15T01:00:00.000+01:00,true,2023,1
Renovable,Hidráulica,false,0.18038588395715188,98137.988,2023-01-16T01:00:00.000+01:00,true,2023,1
Renovable,Hidráulica,false,0.17685496173194246,94498.548,2023-01-17T01:00:00.000+01:00,true,2023,1
Renovable,Hidráulica,false,0.19306682822237253,102566.989,2023-01-18T01:00:00.000+01:00,true,2023,1
Renovable,Hidráulica,false,0.18955678219158859,105427.539,2023-01-19T01:00:00.000+01:00,true,2023,1
Renovable,Hidráulica,false,0.26669461723450005,125727.18,2023-01-20T01:00:00.000+01:00,true,2023,1
Renovable,Hidráulica,false,0.23782382708808608,108970.857,2023-01-21T01:00:00.000+01:00,true,2023,1
Renovable,Hidráulica,false,0.20604418727525223,101269.087,2023-01-22T01:00:00.000+01:00,true,2023,1
Renovable,Hidráulica,false,0.24189858503260858,130485.651,2023-01-23T01:00:00.000+01:00,true,2023,1
Renovable,Hidráulica,false,0.33043289702455003,158153.313,2023-01-24T01:00:00.000+01:00,true,2023,1
Renovable,Hidráulica,false,0.33965702787846386,164850.212,2023-01-25T01:00:00.000+01:00,true,2023,1
Renovable,Hidráulica,false,0.2927588900319539,160553.766,2023-01-26T01:00:00.000+01:00,true,2023,1
Renovable,Hidráulica,false,0.24453502126471358,142068.28,2023-01-27T01:00:00.000+01:00,true,2023,1
Renovable,Hidráulica,false,0.20926941332600957,108241.106,2023-01-28T01:00:00.000+01:00,true,2023,1
Renovable,Hidráulica,false,0.24360323179442786,107171.255,2023-01-29T01:00:00.000+01:00,true,2023,1
