FechaCompleta,Generación no renovable_MWh,Generación no renovable_%,Generación renovable_MWh,Generación renovable_%,Saldo I. internacionales_MWh,Saldo I. internacionales_%
2011-03-18T23:00:00.000Z,426327.283,1.0,295840.188,1.0,-30135.279,0.039
2011-03-19T23:00:00.000Z,408006.25,1.0,273277.925,1.0,-35314.06,0.048
2011-03-20T23:00:00.000Z,507261.14,1.0,302240.251,1.0,-26842.562,0.031
2011-03-21T23:00:00.000Z,477733.265,1.0,335784.763,1.0,-21636.823,0.026
2011-03-22T23:00:00.000Z,458652.727,1.0,397110.024,1.0,-37051.69,0.041
2011-03-23T23:00:00.000Z,486526.526,1.0,378766.001,1.0,-57525.85,0.062
2011-03-24T23:00:00.000Z,549870.137,1.0,262110.419,1.0,-25991.623,0.031
2011-03-25T23:00:00.000Z,436112.725,1.0,274036.336,1.0,-15787.422,0.022
2011-03-26T23:00:00.000Z,321104.326,1.0,348244.591,1.0,-17723.574,0.024
2011-03-27T22:00:00.000Z,468154.591,1.0,335145.455,1.0,-39949.553,0.047
2011-03-28T22:00:00.000Z,508426.718,1.0,317048.099,1.0,-53912.402,0.061
2011-03-29T22:00:00.000Z,489390.529,1.0,341220.956,1.0,-55350.163,0.062
2011-03-30T22:00:00.000Z,516526.431,1.0,271825.557,1.0,-32024.366,0.039
2011-03-31T22:00:00.000Z,428139.489,1.0,333479.508,1.0,-12589.828,0.016
2011-04-01T22:00:00.000Z,397349.332,1.0,303103.502,1.0,-26184.769,0.035
2011-04-02T22:00:00.000Z,362621.794,1.0,264008.34,1.0,-4068.134,0.006
2011-04-03T22:00:00.000Z,489233.187,1.0,273108.739,1.0,-29184.83,0.036
2011-04-04T22:00:00.000Z,528808.526,1.0,255983.75,1.0,-45433.622,0.055
2011-04-05T22:00:00.000Z,481164.241,1.0,299193.86,1.0,-28525.64,0.035
2011-04-06T22:00:00.000Z,525366.461,1.0,256130.201,1.0,-45940.147,0.055
2011-04-07T22:00:00.000Z,535884.337,1.0,235650.523,1.0,-32731.152,0.041
2011-04-08T22:00:00.000Z,397891.769,1.0,278400.382,1.0,-16439.405,0.023
2011-04-09T22:00:00.000Z,330361.635,1.0,327961.397,1.0,-25164.35,0.035
2011-04-10T22:00:00.000Z,416773.195,1.0,355657.034,1.0,-41318.853,0.05
2011-04-11T22:00:00.000Z,437144.059,1.0,354335.152,1.0,-44318.404,0.052
