FechaCompleta,Generación no renovable_MWh,Generación no renovable_%,Generación renovable_MWh,Generación renovable_%,Saldo I. internacionales_MWh,Saldo I. internacionales_%
2012-05-22T22:00:00.000Z,534782.685,1.0,224691.543,1.0,-39046.383,0.049
2012-05-23T22:00:00.000Z,565542.378,1.0,196894.972,1.0,-33451.057,0.042
2012-05-24T22:00:00.000Z,533763.894,1.0,227659.279,1.0,-31973.516,0.04
2012-05-25T22:00:00.000Z,424575.392,1.0,248617.774,1.0,-16337.599,0.023
2012-05-26T22:00:00.000Z,400240.066,1.0,209544.517,1.0,-12793.464,0.02
2012-05-27T22:00:00.000Z,527020.443,1.0,190602.56,1.0,-20506.42,0.028
2012-05-28T22:00:00.000Z,564917.601,1.0,193013.916,1.0,-26446.804,0.034
2012-05-29T22:00:00.000Z,574437.661,1.0,193996.249,1.0,-28996.827,0.036
2012-05-30T22:00:00.000Z,554404.319,1.0,233931.004,1.0,-30198.933,0.036
2012-05-31T22:00:00.000Z,563640.899,1.0,213664.322,1.0,-19500.76,0.024
2012-06-01T22:00:00.000Z,498754.12,1.0,203926.252,1.0,-17470.571,0.024
2012-06-02T22:00:00.000Z,434370.976,1.0,191646.653,1.0,-13099.157,0.02
2012-06-03T22:00:00.000Z,557041.766,1.0,192288.537,1.0,-17029.259,0.022
2012-06-04T22:00:00.000Z,572445.124,1.0,213194.921,1.0,-21946.542,0.027
2012-06-05T22:00:00.000Z,551354.323,1.0,255860.807,1.0,-28146.728,0.033
2012-06-06T22:00:00.000Z,463544.039,1.0,324266.005,1.0,-14701.002,0.018
2012-06-07T22:00:00.000Z,510780.306,1.0,248785.211,1.0,-9573.317,0.012
2012-06-08T22:00:00.000Z,453872.66,1.0,229657.96,1.0,-11425.879,0.016
2012-06-09T22:00:00.000Z,352500.51,1.0,328727.199,1.0,-19727.225,0.026
2012-06-10T22:00:00.000Z,427811.701,1.0,354503.976,1.0,-26354.729,0.032
2012-06-11T22:00:00.000Z,494169.966,1.0,287077.29,1.0,-31230.652,0.038
2012-06-12T22:00:00.000Z,565209.604,1.0,201582.752,1.0,-22527.26,0.029
2012-06-13T22:00:00.000Z,506355.443,1.0,298998.945,1.0,-43891.035,0.051
2012-06-14T22:00:00.000Z,502171.115,1.0,289380.575,1.0,-26370.067,0.032
2012-06-15T22:00:00.000Z,460078.958,1.0,231420.878,1.0,-7267.28,0.01
