FechaCompleta,Generación no renovable_MWh,Generación no renovable_%,Generación renovable_MWh,Generación renovable_%,Saldo I. internacionales_MWh,Saldo I. internacionales_%
2012-12-11T23:00:00.000Z,724195.291,1.0,180586.695,1.0,-58351.847,0.06
2012-12-12T23:00:00.000Z,604673.257,1.0,302547.894,1.0,-57490.664,0.059
2012-12-13T23:00:00.000Z,471078.798,1.0,411457.764,1.0,-40386.682,0.043
2012-12-14T23:00:00.000Z,377547.826,1.0,408560.462,1.0,-24926.299,0.029
2012-12-15T23:00:00.000Z,367862.964,1.0,371324.049,1.0,-31088.041,0.038
2012-12-16T23:00:00.000Z,513917.914,1.0,325324.661,1.0,-51721.965,0.057
2012-12-17T23:00:00.000Z,571109.302,1.0,269231.347,1.0,-39313.657,0.044
2012-12-18T23:00:00.000Z,575820.128,1.0,257733.057,1.0,-37319.378,0.042
2012-12-19T23:00:00.000Z,437750.746,1.0,394823.645,1.0,-41160.373,0.046
2012-12-20T23:00:00.000Z,407670.339,1.0,395719.965,1.0,-49971.404,0.057
2012-12-21T23:00:00.000Z,395737.885,1.0,299899.522,1.0,-19751.321,0.027
2012-12-22T23:00:00.000Z,385261.846,1.0,256119.783,1.0,-7139.021,0.011
2012-12-23T23:00:00.000Z,364188.418,1.0,315858.194,1.0,-28458.623,0.039
2012-12-24T23:00:00.000Z,342560.755,1.0,271636.234,1.0,-32960.886,0.049
2012-12-25T23:00:00.000Z,386228.573,1.0,306086.986,1.0,-24408.819,0.033
2012-12-26T23:00:00.000Z,410265.134,1.0,317731.43,1.0,-16450.555,0.022
2012-12-27T23:00:00.000Z,430654.67,1.0,271951.974,1.0,3385.5,0.005
2012-12-28T23:00:00.000Z,364198.565,1.0,328830.895,1.0,-5715.87,0.008
2012-12-29T23:00:00.000Z,393259.816,1.0,262108.984,1.0,-10422.582,0.015
2012-12-30T23:00:00.000Z,388861.186,1.0,288404.416,1.0,-5738.165,0.008
2012-12-31T23:00:00.000Z,361783.836,1.0,250310.897,1.0,-1663.129,0.003
2013-01-01T23:00:00.000Z,424205.645,1.0,319635.652,1.0,-2717.097,0.004
2013-01-02T23:00:00.000Z,512724.397,1.0,245732.126,1.0,19591.119,0.025
2013-01-03T23:00:00.000Z,546563.112,1.0,205066.837,1.0,17234.389,0.022
2013-01-04T23:00:00.000Z,469639.956,1.0,226343.655,1.0,-4112.63,0.006
