FechaCompleta,Generación no renovable_MWh,Generación no renovable_%,Generación renovable_MWh,Generación renovable_%,Saldo I. internacionales_MWh,Saldo I. internacionales_%
2020-05-17T22:00:00.000Z,270933.874,1.0,299025.349,1.0,31888.623,0.053
2020-05-18T22:00:00.000Z,289750.648,1.0,294082.335,1.0,35164.371,0.056
2020-05-19T22:00:00.000Z,307644.251,1.0,241264.317,1.0,73859.45,0.119
2020-05-20T22:00:00.000Z,302448.866,1.0,249128.672,1.0,78566.594,0.125
2020-05-21T22:00:00.000Z,299130.796,1.0,261086.654,1.0,74082.527,0.117
2020-05-22T22:00:00.000Z,254795.461,1.0,327024.604,1.0,12180.724,0.02
2020-05-23T22:00:00.000Z,241545.665,1.0,329285.71,1.0,13560.621,0.022
2020-05-24T22:00:00.000Z,295276.385,1.0,314065.421,1.0,21674.482,0.034
2020-05-25T22:00:00.000Z,269249.635,1.0,365130.055,1.0,22555.348,0.034
2020-05-26T22:00:00.000Z,287981.758,1.0,343408.242,1.0,19835.52,0.03
2020-05-27T22:00:00.000Z,317567.027,1.0,302870.918,1.0,20690.528,0.032
2020-05-28T22:00:00.000Z,326295.949,1.0,277862.157,1.0,37569.284,0.059
2020-05-29T22:00:00.000Z,285831.54,1.0,274129.7,1.0,30220.32,0.051
2020-05-30T22:00:00.000Z,293949.598,1.0,230047.204,1.0,22352.038,0.041
2020-05-31T22:00:00.000Z,342161.457,1.0,228906.614,1.0,57291.77,0.091
2020-06-01T22:00:00.000Z,355750.38,1.0,231734.62,1.0,65846.977,0.101
2020-06-02T22:00:00.000Z,367824.787,1.0,267812.572,1.0,34573.385,0.051
2020-06-03T22:00:00.000Z,323725.601,1.0,348687.414,1.0,-14946.907,0.022
2020-06-04T22:00:00.000Z,343778.506,1.0,297303.507,1.0,1384.74,0.002
2020-06-05T22:00:00.000Z,331906.013,1.0,261488.901,1.0,5056.601,0.008
2020-06-06T22:00:00.000Z,295962.966,1.0,336030.506,1.0,-46542.238,0.064
2020-06-07T22:00:00.000Z,337479.556,1.0,332547.502,1.0,-37939.784,0.053
2020-06-08T22:00:00.000Z,359474.041,1.0,311348.899,1.0,-27247.008,0.039
2020-06-09T22:00:00.000Z,375921.731,1.0,264283.503,1.0,14481.62,0.022
2020-06-10T22:00:00.000Z,311750.93,1.0,359957.406,1.0,-7289.022,0.011
2020-06-11T22:00:00.000Z,286007.279,1.0,400328.087,1.0,-28364.169,0.039
