FechaCompleta,Generación no renovable_MWh,Generación no renovable_%,Generación renovable_MWh,Generación renovable_%,Saldo I. internacionales_MWh,Saldo I. internacionales_%
2020-04-22T22:00:00.000Z,304478.122,1.0,283997.921,1.0,20413.004,0.033
2020-04-23T22:00:00.000Z,295276.513,1.0,301693.703,1.0,8367.23,0.014
2020-04-24T22:00:00.000Z,299219.533,1.0,220848.949,1.0,37403.802,0.067
2020-04-25T22:00:00.000Z,293807.145,1.0,242464.557,1.0,-1158.405,0.002
2020-04-26T22:00:00.000Z,284748.923,1.0,313207.647,1.0,-2860.546,0.005
2020-04-27T22:00:00.000Z,258873.888,1.0,383691.669,1.0,-29973.231,0.044
2020-04-28T22:00:00.000Z,227510.138,1.0,448739.697,1.0,-40742.849,0.054
2020-04-29T22:00:00.000Z,213549.601,1.0,475333.631,1.0,-41191.092,0.053
2020-04-30T22:00:00.000Z,227059.153,1.0,425275.001,1.0,-86855.783,0.111
2020-05-01T22:00:00.000Z,253751.119,1.0,346240.795,1.0,-35040.474,0.052
2020-05-02T22:00:00.000Z,257155.534,1.0,251337.486,1.0,31697.683,0.056
2020-05-03T22:00:00.000Z,259126.608,1.0,386206.364,1.0,-35328.989,0.05
2020-05-04T22:00:00.000Z,265720.476,1.0,320343.424,1.0,28903.326,0.046
2020-05-05T22:00:00.000Z,279021.933,1.0,278659.688,1.0,52279.43,0.086
2020-05-06T22:00:00.000Z,262470.665,1.0,343016.344,1.0,7334.423,0.012
2020-05-07T22:00:00.000Z,258816.226,1.0,316848.668,1.0,29407.955,0.048
2020-05-08T22:00:00.000Z,286909.554,1.0,266204.492,1.0,3706.818,0.007
2020-05-09T22:00:00.000Z,264259.215,1.0,294821.95,1.0,-16342.397,0.027
2020-05-10T22:00:00.000Z,258262.206,1.0,340487.462,1.0,9977.903,0.016
2020-05-11T22:00:00.000Z,306916.712,1.0,241243.95,1.0,69599.015,0.113
2020-05-12T22:00:00.000Z,283555.831,1.0,262673.957,1.0,73996.251,0.119
2020-05-13T22:00:00.000Z,265633.214,1.0,294937.15,1.0,68535.949,0.107
2020-05-14T22:00:00.000Z,254151.53,1.0,337173.462,1.0,30494.083,0.048
2020-05-15T22:00:00.000Z,260171.673,1.0,347376.953,1.0,-24712.122,0.037
2020-05-16T22:00:00.000Z,265998.688,1.0,278315.459,1.0,-18181.993,0.032
