FechaCompleta,Generación no renovable_MWh,Generación no renovable_%,Generación renovable_MWh,Generación renovable_%,Saldo I. internacionales_MWh,Saldo I. internacionales_%
2023-07-28T22:00:00.000Z,365066.645,1.0,334569.143,1.0,-6037.629,0.008
2023-07-29T22:00:00.000Z,341017.78,1.0,331228.13,1.0,-502.167,0.001
2023-07-30T22:00:00.000Z,401378.876,1.0,337629.585,1.0,1747.364,0.002
2023-07-31T22:00:00.000Z,394353.372,1.0,397709.397,1.0,-23483.404,0.028
2023-08-01T22:00:00.000Z,365138.266,1.0,428950.955,1.0,-10294.334,0.012
2023-08-02T22:00:00.000Z,354489.769,1.0,449837.918,1.0,-38682.909,0.044
2023-08-03T22:00:00.000Z,353914.495,1.0,447583.246,1.0,-87020.947,0.095
2023-08-04T22:00:00.000Z,340163.526,1.0,387055.805,1.0,-88854.683,0.106
2023-08-05T22:00:00.000Z,308949.897,1.0,408302.168,1.0,-89041.999,0.105
2023-08-06T22:00:00.000Z,339046.702,1.0,394324.441,1.0,-33997.193,0.043
2023-08-07T22:00:00.000Z,417808.655,1.0,314952.24,1.0,-20222.444,0.027
2023-08-08T22:00:00.000Z,498788.422,1.0,264884.845,1.0,-31148.799,0.039
2023-08-09T22:00:00.000Z,430241.749,1.0,358299.988,1.0,-25673.289,0.031
2023-08-10T22:00:00.000Z,425884.434,1.0,315541.232,1.0,-1312.223,0.002
2023-08-11T22:00:00.000Z,372719.556,1.0,320358.991,1.0,5444.938,0.008
2023-08-12T22:00:00.000Z,334468.596,1.0,345706.249,1.0,-18289.925,0.025
2023-08-13T22:00:00.000Z,367367.302,1.0,357540.679,1.0,-26324.945,0.034
2023-08-14T22:00:00.000Z,378251.198,1.0,317972.079,1.0,-45538.07,0.06
2023-08-15T22:00:00.000Z,410932.201,1.0,327064.322,1.0,-34020.804,0.043
2023-08-16T22:00:00.000Z,440425.924,1.0,301786.877,1.0,-22561.443,0.029
2023-08-17T22:00:00.000Z,414407.355,1.0,354858.188,1.0,-50760.731,0.061
2023-08-18T22:00:00.000Z,419003.27,1.0,283457.54,1.0,-22307.722,0.03
2023-08-19T22:00:00.000Z,435765.141,1.0,273593.05,1.0,-40832.398,0.053
2023-08-20T22:00:00.000Z,490587.142,1.0,331664.001,1.0,-52051.624,0.059
2023-08-21T22:00:00.000Z,494306.449,1.0,346244.892,1.0,-42669.168,0.048
2023-08-22T22:00:00.000Z,542070.602,1.0,333175.358,1.0,-59776.801,0.063
