FechaCompleta,Generación no renovable_MWh,Generación no renovable_%,Generación renovable_MWh,Generación renovable_%,Saldo I. internacionales_MWh,Saldo I. internacionales_%
2020-10-17T22:00:00.000Z,352089.22,1.0,214441.44,1.0,29816.165,0.049
2020-10-18T22:00:00.000Z,343683.731,1.0,392272.767,1.0,-26848.451,0.034
2020-10-19T22:00:00.000Z,343048.35,1.0,429678.408,1.0,-55127.494,0.066
2020-10-20T22:00:00.000Z,361985.367,1.0,351910.841,1.0,6917.02,0.009
2020-10-21T22:00:00.000Z,419215.275,1.0,260327.11,1.0,35638.96,0.049
2020-10-22T22:00:00.000Z,378153.81,1.0,302659.724,1.0,22167.336,0.031
2020-10-23T22:00:00.000Z,303418.243,1.0,343121.941,1.0,-3749.32,0.006
2020-10-24T22:00:00.000Z,298141.314,1.0,396536.883,1.0,-40692.752,0.052
2020-10-25T23:00:00.000Z,330277.811,1.0,413388.581,1.0,-44029.473,0.055
2020-10-26T23:00:00.000Z,340652.707,1.0,379759.966,1.0,4040.98,0.006
2020-10-27T23:00:00.000Z,383677.98,1.0,264294.217,1.0,73770.616,0.101
2020-10-28T23:00:00.000Z,417680.853,1.0,222102.287,1.0,77548.012,0.108
2020-10-29T23:00:00.000Z,401401.242,1.0,243443.385,1.0,62133.357,0.088
2020-10-30T23:00:00.000Z,317852.574,1.0,258731.824,1.0,59173.533,0.092
2020-10-31T23:00:00.000Z,311197.299,1.0,248330.772,1.0,42049.868,0.067
2020-11-01T23:00:00.000Z,359647.372,1.0,231102.462,1.0,62824.0,0.095
2020-11-02T23:00:00.000Z,360725.692,1.0,303167.386,1.0,43916.143,0.062
2020-11-03T23:00:00.000Z,369442.822,1.0,328679.63,1.0,36770.866,0.05
2020-11-04T23:00:00.000Z,328509.019,1.0,406532.26,1.0,2653.18,0.004
2020-11-05T23:00:00.000Z,315289.479,1.0,438789.839,1.0,-28479.064,0.036
2020-11-06T23:00:00.000Z,328054.685,1.0,350884.515,1.0,-23560.687,0.033
2020-11-07T23:00:00.000Z,318913.201,1.0,282969.117,1.0,3659.601,0.006
2020-11-08T23:00:00.000Z,422486.611,1.0,220763.1,1.0,51710.905,0.074
2020-11-09T23:00:00.000Z,451846.288,1.0,218267.082,1.0,47147.456,0.065
2020-11-10T23:00:00.000Z,369016.048,1.0,289256.845,1.0,67253.589,0.092
