FechaCompleta,Generación no renovable_MWh,Generación no renovable_%,Generación renovable_MWh,Generación renovable_%,Saldo I. internacionales_MWh,Saldo I. internacionales_%
2019-06-23T22:00:00.000Z,489048.3,1.0,189312.89,1.0,11096.366,0.016
2019-06-24T22:00:00.000Z,539294.062,1.0,194599.776,1.0,31423.665,0.041
2019-06-25T22:00:00.000Z,497137.493,1.0,275682.881,1.0,21475.499,0.027
2019-06-26T22:00:00.000Z,492413.453,1.0,295371.418,1.0,24940.402,0.031
2019-06-27T22:00:00.000Z,544186.956,1.0,225353.915,1.0,52024.918,0.063
2019-06-28T22:00:00.000Z,512087.495,1.0,191641.826,1.0,48044.983,0.064
2019-06-29T22:00:00.000Z,455438.977,1.0,216438.177,1.0,25800.516,0.037
2019-06-30T22:00:00.000Z,509523.2,1.0,274305.674,1.0,23420.37,0.029
2019-07-01T22:00:00.000Z,527808.606,1.0,267076.981,1.0,26164.086,0.032
2019-07-02T22:00:00.000Z,544745.326,1.0,242191.174,1.0,28923.675,0.035
2019-07-03T22:00:00.000Z,552902.108,1.0,225712.128,1.0,36981.454,0.045
2019-07-04T22:00:00.000Z,562113.651,1.0,212434.745,1.0,40793.051,0.05
2019-07-05T22:00:00.000Z,516508.349,1.0,181574.602,1.0,40808.434,0.055
2019-07-06T22:00:00.000Z,473142.364,1.0,203012.681,1.0,13348.612,0.019
2019-07-07T22:00:00.000Z,515759.945,1.0,251464.248,1.0,24743.204,0.031
2019-07-08T22:00:00.000Z,530773.405,1.0,228183.853,1.0,28201.461,0.036
2019-07-09T22:00:00.000Z,552885.306,1.0,200302.585,1.0,39826.802,0.05
2019-07-10T22:00:00.000Z,576827.233,1.0,194927.978,1.0,48856.857,0.059
2019-07-11T22:00:00.000Z,588206.357,1.0,184384.223,1.0,55771.66,0.067
2019-07-12T22:00:00.000Z,494772.181,1.0,232035.776,1.0,13996.625,0.019
2019-07-13T22:00:00.000Z,442085.703,1.0,238324.126,1.0,-5766.812,0.008
2019-07-14T22:00:00.000Z,512735.554,1.0,263383.171,1.0,21965.748,0.027
2019-07-15T22:00:00.000Z,523880.799,1.0,255186.005,1.0,31971.981,0.039
2019-07-16T22:00:00.000Z,529510.559,1.0,237484.92,1.0,40726.123,0.05
2019-07-17T22:00:00.000Z,555496.224,1.0,214788.753,1.0,39306.469,0.048
