FechaCompleta,Generación no renovable_MWh,Generación no renovable_%,Generación renovable_MWh,Generación renovable_%,Saldo I. internacionales_MWh,Saldo I. internacionales_%
2019-11-22T23:00:00.000Z,304041.286,1.0,486660.587,1.0,-53814.117,0.062
2019-11-23T23:00:00.000Z,321330.156,1.0,402672.701,1.0,-47272.046,0.06
2019-11-24T23:00:00.000Z,416172.85,1.0,395167.522,1.0,-28739.577,0.034
2019-11-25T23:00:00.000Z,383180.444,1.0,410246.353,1.0,-1850.417,0.002
2019-11-26T23:00:00.000Z,330650.38,1.0,461673.291,1.0,-4472.332,0.006
2019-11-27T23:00:00.000Z,349662.8,1.0,411424.841,1.0,30966.371,0.038
2019-11-28T23:00:00.000Z,454719.389,1.0,285781.232,1.0,23614.644,0.031
2019-11-29T23:00:00.000Z,345874.199,1.0,353042.4,1.0,-898.53,0.001
2019-11-30T23:00:00.000Z,336170.881,1.0,279353.281,1.0,50127.573,0.073
2019-12-01T23:00:00.000Z,367882.25,1.0,407448.707,1.0,16387.389,0.02
2019-12-02T23:00:00.000Z,444145.282,1.0,342481.256,1.0,17782.005,0.022
2019-12-03T23:00:00.000Z,471318.5,1.0,315550.355,1.0,18779.894,0.023
2019-12-04T23:00:00.000Z,426079.279,1.0,359096.869,1.0,14488.877,0.018
2019-12-05T23:00:00.000Z,432571.195,1.0,233451.581,1.0,24330.663,0.035
2019-12-06T23:00:00.000Z,423955.544,1.0,215588.214,1.0,40893.58,0.06
2019-12-07T23:00:00.000Z,363487.823,1.0,279675.915,1.0,20162.93,0.03
2019-12-08T23:00:00.000Z,406858.576,1.0,359492.747,1.0,-15780.117,0.02
2019-12-09T23:00:00.000Z,472710.259,1.0,328624.297,1.0,-3386.782,0.004
2019-12-10T23:00:00.000Z,417288.817,1.0,404761.108,1.0,-5848.725,0.007
2019-12-11T23:00:00.000Z,348216.783,1.0,514764.241,1.0,-29583.47,0.033
2019-12-12T23:00:00.000Z,309984.483,1.0,543307.607,1.0,-37020.168,0.041
2019-12-13T23:00:00.000Z,297307.004,1.0,454979.591,1.0,-22836.937,0.029
2019-12-14T23:00:00.000Z,320003.971,1.0,337529.081,1.0,34548.33,0.048
2019-12-15T23:00:00.000Z,379086.398,1.0,414338.072,1.0,-3085.716,0.004
2019-12-16T23:00:00.000Z,428595.411,1.0,296549.933,1.0,71790.59,0.089
