FechaCompleta,Generación no renovable_MWh,Generación no renovable_%,Generación renovable_MWh,Generación renovable_%,Saldo I. internacionales_MWh,Saldo I. internacionales_%
2012-11-15T23:00:00.000Z,528505.253,1.0,223895.963,1.0,-11701.521,0.015
2012-11-16T23:00:00.000Z,478101.11,1.0,188524.622,1.0,3805.448,0.006
2012-11-17T23:00:00.000Z,456799.79,1.0,180450.743,1.0,-12977.767,0.019
2012-11-18T23:00:00.000Z,583023.74,1.0,181525.763,1.0,-29663.648,0.037
2012-11-19T23:00:00.000Z,577740.115,1.0,209259.4,1.0,-23403.772,0.028
2012-11-20T23:00:00.000Z,596467.507,1.0,196156.62,1.0,-25455.823,0.031
2012-11-21T23:00:00.000Z,627289.44,1.0,179264.083,1.0,-42715.524,0.05
2012-11-22T23:00:00.000Z,552379.823,1.0,239330.553,1.0,-33261.863,0.04
2012-11-23T23:00:00.000Z,448838.132,1.0,256498.175,1.0,-17267.303,0.023
2012-11-24T23:00:00.000Z,466015.757,1.0,157919.695,1.0,-1961.206,0.003
2012-11-25T23:00:00.000Z,565456.138,1.0,207412.499,1.0,-21215.203,0.026
2012-11-26T23:00:00.000Z,519035.429,1.0,295609.283,1.0,-28897.689,0.034
2012-11-27T23:00:00.000Z,466054.038,1.0,390458.293,1.0,-46020.76,0.05
2012-11-28T23:00:00.000Z,493873.335,1.0,368054.928,1.0,-51342.489,0.055
2012-11-29T23:00:00.000Z,570402.203,1.0,269960.649,1.0,-27057.547,0.031
2012-11-30T23:00:00.000Z,477148.276,1.0,279331.782,1.0,-12612.873,0.016
2012-12-01T23:00:00.000Z,483345.32,1.0,247165.359,1.0,-29607.455,0.038
2012-12-02T23:00:00.000Z,579050.902,1.0,266558.379,1.0,-31909.896,0.036
2012-12-03T23:00:00.000Z,537910.687,1.0,347944.246,1.0,-48898.969,0.051
2012-12-04T23:00:00.000Z,549499.124,1.0,343057.048,1.0,-69700.064,0.071
2012-12-05T23:00:00.000Z,544524.426,1.0,226106.09,1.0,-47173.227,0.057
2012-12-06T23:00:00.000Z,583932.81,1.0,247440.522,1.0,-73531.035,0.081
2012-12-07T23:00:00.000Z,466537.449,1.0,311560.33,1.0,-69524.71,0.08
2012-12-08T23:00:00.000Z,534811.281,1.0,176273.473,1.0,-21300.554,0.028
2012-12-09T23:00:00.000Z,661269.815,1.0,211117.528,1.0,-49369.961,0.053
2012-12-10T23:00:00.000Z,706283.205,1.0,182961.798,1.0,-47137.81,0.05
