FechaCompleta,Generación no renovable_MWh,Generación no renovable_%,Generación renovable_MWh,Generación renovable_%,Saldo I. internacionales_MWh,Saldo I. internacionales_%
2013-06-06T22:00:00.000Z,450392.309,1.0,254578.963,1.0,-3913.232,0.005
2013-06-07T22:00:00.000Z,376294.175,1.0,258234.46,1.0,164.742,0.0
2013-06-08T22:00:00.000Z,319778.495,1.0,306708.351,1.0,-15414.379,0.023
2013-06-09T22:00:00.000Z,410467.835,1.0,286633.411,1.0,388.228,0.001
2013-06-10T22:00:00.000Z,446554.248,1.0,295221.766,1.0,-20142.485,0.026
2013-06-11T22:00:00.000Z,482305.504,1.0,262165.416,1.0,-12888.959,0.017
2013-06-12T22:00:00.000Z,492737.194,1.0,264515.663,1.0,-10755.784,0.014
2013-06-13T22:00:00.000Z,472639.57,1.0,279167.375,1.0,-6658.147,0.009
2013-06-14T22:00:00.000Z,412355.263,1.0,245384.004,1.0,6816.247,0.01
2013-06-15T22:00:00.000Z,334979.661,1.0,298588.091,1.0,-9583.366,0.014
2013-06-16T22:00:00.000Z,374668.661,1.0,329769.863,1.0,10438.244,0.014
2013-06-17T22:00:00.000Z,424728.071,1.0,287903.565,1.0,-3183.126,0.004
2013-06-18T22:00:00.000Z,452303.155,1.0,262291.71,1.0,-2417.771,0.003
2013-06-19T22:00:00.000Z,479223.661,1.0,228567.485,1.0,5831.86,0.008
2013-06-20T22:00:00.000Z,471717.013,1.0,225258.051,1.0,13576.544,0.019
2013-06-21T22:00:00.000Z,387232.131,1.0,252035.438,1.0,7917.044,0.012
2013-06-22T22:00:00.000Z,323409.223,1.0,327507.882,1.0,-27301.232,0.038
2013-06-23T22:00:00.000Z,360479.085,1.0,366129.439,1.0,-53117.833,0.066
2013-06-24T22:00:00.000Z,385248.948,1.0,364901.37,1.0,-25721.803,0.033
2013-06-25T22:00:00.000Z,383426.321,1.0,371471.821,1.0,-18489.534,0.024
2013-06-26T22:00:00.000Z,385487.291,1.0,384963.68,1.0,-29183.593,0.036
2013-06-27T22:00:00.000Z,388241.416,1.0,364888.385,1.0,-26366.816,0.033
2013-06-28T22:00:00.000Z,349632.344,1.0,338492.211,1.0,-17959.728,0.025
2013-06-29T22:00:00.000Z,357839.583,1.0,295065.392,1.0,-29865.565,0.042
2013-06-30T22:00:00.000Z,455827.439,1.0,286422.594,1.0,-16987.132,0.022
2013-07-01T22:00:00.000Z,505848.447,1.0,242907.62,1.0,-6676.186,0.009
