FechaCompleta,Generación no renovable_MWh,Generación no renovable_%,Generación renovable_MWh,Generación renovable_%,Saldo I. internacionales_MWh,Saldo I. internacionales_%
2018-04-17T22:00:00.000Z,348643.001,1.0,336728.151,1.0,49374.176,0.067
2018-04-18T22:00:00.000Z,328044.129,1.0,384820.106,1.0,24098.057,0.032
2018-04-19T22:00:00.000Z,323427.719,1.0,405285.359,1.0,8150.205,0.011
2018-04-20T22:00:00.000Z,307221.99,1.0,322881.651,1.0,33648.144,0.049
2018-04-21T22:00:00.000Z,304044.126,1.0,281013.459,1.0,22898.426,0.037
2018-04-22T22:00:00.000Z,355258.495,1.0,293123.753,1.0,43471.496,0.063
2018-04-23T22:00:00.000Z,351789.958,1.0,321442.844,1.0,44480.501,0.062
2018-04-24T22:00:00.000Z,344902.732,1.0,334007.357,1.0,46681.406,0.064
2018-04-25T22:00:00.000Z,358280.745,1.0,344892.239,1.0,30020.801,0.04
2018-04-26T22:00:00.000Z,343501.019,1.0,333673.015,1.0,41670.553,0.058
2018-04-27T22:00:00.000Z,308717.912,1.0,299099.421,1.0,43694.331,0.066
2018-04-28T22:00:00.000Z,294869.949,1.0,334649.735,1.0,18880.321,0.027
2018-04-29T22:00:00.000Z,329758.325,1.0,295943.604,1.0,42657.153,0.063
2018-04-30T22:00:00.000Z,316363.216,1.0,266075.712,1.0,34536.823,0.054
2018-05-01T22:00:00.000Z,326657.446,1.0,348664.555,1.0,30724.001,0.043
2018-05-02T22:00:00.000Z,319624.177,1.0,424499.205,1.0,-10619.855,0.014
2018-05-03T22:00:00.000Z,305069.113,1.0,419017.51,1.0,17260.195,0.023
2018-05-04T22:00:00.000Z,305948.559,1.0,311845.984,1.0,38853.184,0.059
2018-05-05T22:00:00.000Z,313721.929,1.0,247432.662,1.0,45299.591,0.073
2018-05-06T22:00:00.000Z,388064.073,1.0,252715.506,1.0,65428.623,0.093
2018-05-07T22:00:00.000Z,371346.789,1.0,277877.52,1.0,73868.348,0.102
2018-05-08T22:00:00.000Z,359778.075,1.0,293480.461,1.0,71102.264,0.098
2018-05-09T22:00:00.000Z,362091.135,1.0,324368.787,1.0,41515.029,0.057
2018-05-10T22:00:00.000Z,379830.139,1.0,273564.112,1.0,63453.181,0.088
2018-05-11T22:00:00.000Z,291095.499,1.0,339746.182,1.0,43546.774,0.062
2018-05-12T22:00:00.000Z,300530.638,1.0,337411.738,1.0,7500.564,0.011
