Fecha,Valor_Mercado_Spot,Porcentaje_Mercado_Spot,PVPC_Valor,PVPC_Porcentaje
2019-04-14T01:00:00.000+02:00,54.3,1.0,,
2019-04-23T04:00:00.000+02:00,34.0,1.0,,
2019-04-03T05:00:00.000+02:00,52.25,1.0,,
2019-04-14T18:00:00.000+02:00,50.15,1.0,,
2019-04-19T22:00:00.000+02:00,44.0,1.0,,
2019-04-03T10:00:00.000+02:00,56.6,1.0,,
2019-04-11T21:00:00.000+02:00,59.22,1.0,,
2019-04-07T23:00:00.000+02:00,53.1,1.0,,
2019-04-14T05:00:00.000+02:00,45.14,1.0,,
2019-04-30T13:00:00.000+02:00,59.12,1.0,,
2019-04-08T22:00:00.000+02:00,55.66,1.0,,
2019-04-25T02:00:00.000+02:00,12.69,1.0,,
2019-04-12T18:00:00.000+02:00,54.7,1.0,,
2019-04-06T01:00:00.000+02:00,45.68,1.0,,
2019-04-03T23:00:00.000+02:00,55.56,1.0,,
2019-04-01T21:00:00.000+02:00,60.95,1.0,,
2019-04-19T13:00:00.000+02:00,34.5,1.0,,
2019-04-10T22:00:00.000+02:00,55.57,1.0,,
2019-04-28T17:00:00.000+02:00,48.0,1.0,,
2019-04-11T17:00:00.000+02:00,51.51,1.0,,
2019-04-14T11:00:00.000+02:00,56.16,1.0,,
2019-04-24T10:00:00.000+02:00,53.5,1.0,,
2019-04-01T23:00:00.000+02:00,59.82,1.0,,
2019-04-06T06:00:00.000+02:00,39.2,1.0,,
2019-04-08T03:00:00.000+02:00,42.56,1.0,,
2019-04-04T00:00:00.000+02:00,54.06,1.0,,
2019-04-30T02:00:00.000+02:00,58.71,1.0,,
2019-04-19T06:00:00.000+02:00,38.42,1.0,,
2019-04-16T10:00:00.000+02:00,59.57,1.0,,
2019-04-04T19:00:00.000+02:00,53.56,1.0,,
2019-04-02T13:00:00.000+02:00,59.17,1.0,,
2019-04-05T20:00:00.000+02:00,54.52,1.0,,
2019-04-10T03:00:00.000+02:00,41.33,1.0,,
2019-04-29T12:00:00.000+02:00,59.47,1.0,,
2019-04-17T13:00:00.000+02:00,40.6,1.0,,
2019-04-07T05:00:00.000+02:00,38.8,1.0,,
2019-04-01T18:00:00.000+02:00,57.92,1.0,,
2019-04-16T03:00:00.000+02:00,56.13,1.0,,
2019-04-01T11:00:00.000+02:00,59.45,1.0,,
2019-04-28T19:00:00.000+02:00,50.27,1.0,,
2019-04-23T14:00:00.000+02:00,52.96,1.0,,
2019-04-14T06:00:00.000+02:00,45.13,1.0,,
2019-04-02T22:00:00.000+02:00,56.48,1.0,,
2019-04-17T04:00:00.000+02:00,35.36,1.0,,
2019-04-13T09:00:00.000+02:00,59.01,1.0,,
2019-04-06T21:00:00.000+02:00,55.44,1.0,,
2019-04-27T17:00:00.000+02:00,52.34,1.0,,
2019-04-09T19:00:00.000+02:00,50.28,1.0,,
2019-04-29T14:00:00.000+02:00,58.7,1.0,,
2019-04-14T15:00:00.000+02:00,49.54,1.0,,
2019-04-23T19:00:00.000+02:00,49.53,1.0,,
2019-04-18T19:00:00.000+02:00,49.31,1.0,,
2019-04-13T05:00:00.000+02:00,58.66,1.0,,
2019-04-12T11:00:00.000+02:00,58.0,1.0,,
2019-04-08T23:00:00.000+02:00,55.3,1.0,,
2019-04-05T01:00:00.000+02:00,44.7,1.0,,
2019-04-28T20:00:00.000+02:00,55.5,1.0,,
2019-04-11T01:00:00.000+02:00,52.52,1.0,,
2019-04-30T01:00:00.000+02:00,58.9,1.0,,
