Fecha,Valor_Mercado_Spot,Porcentaje_Mercado_Spot,PVPC_Valor,PVPC_Porcentaje
2017-02-09T23:00:00.000+01:00,57.07,1.0,,
2017-02-23T19:00:00.000+01:00,59.19,1.0,,
2017-02-25T12:00:00.000+01:00,50.04,1.0,,
2017-02-26T14:00:00.000+01:00,48.16,1.0,,
2017-02-16T06:00:00.000+01:00,51.37,1.0,,
2017-02-09T08:00:00.000+01:00,67.81,1.0,,
2017-02-07T12:00:00.000+01:00,62.69,1.0,,
2017-02-24T03:00:00.000+01:00,38.99,1.0,,
2017-02-25T04:00:00.000+01:00,41.5,1.0,,
2017-02-27T00:00:00.000+01:00,50.51,1.0,,
2017-02-21T08:00:00.000+01:00,59.94,1.0,,
2017-02-11T20:00:00.000+01:00,62.36,1.0,,
2017-02-04T05:00:00.000+01:00,32.09,1.0,,
2017-02-26T06:00:00.000+01:00,43.43,1.0,,
2017-02-23T23:00:00.000+01:00,49.11,1.0,,
2017-02-04T14:00:00.000+01:00,47.22,1.0,,
2017-02-27T11:00:00.000+01:00,49.92,1.0,,
2017-02-07T13:00:00.000+01:00,60.69,1.0,,
2017-02-06T05:00:00.000+01:00,33.76,1.0,,
2017-02-08T21:00:00.000+01:00,65.5,1.0,,
2017-02-17T10:00:00.000+01:00,64.1,1.0,,
2017-02-19T02:00:00.000+01:00,43.69,1.0,,
2017-02-03T07:00:00.000+01:00,54.62,1.0,,
2017-02-28T11:00:00.000+01:00,42.18,1.0,,
2017-02-06T17:00:00.000+01:00,49.73,1.0,,
2017-02-20T19:00:00.000+01:00,64.95,1.0,,
2017-02-22T02:00:00.000+01:00,40.19,1.0,,
2017-02-17T19:00:00.000+01:00,66.5,1.0,,
2017-02-26T13:00:00.000+01:00,49.68,1.0,,
2017-02-22T20:00:00.000+01:00,65.25,1.0,,
2017-02-25T23:00:00.000+01:00,56.69,1.0,,
2017-02-28T22:00:00.000+01:00,50.1,1.0,,
2017-02-03T11:00:00.000+01:00,55.97,1.0,,
2017-02-28T20:00:00.000+01:00,53.15,1.0,,
2017-02-01T02:00:00.000+01:00,59.75,1.0,,
2017-02-03T14:00:00.000+01:00,51.96,1.0,,
2017-02-07T17:00:00.000+01:00,50.0,1.0,,
2017-02-07T14:00:00.000+01:00,55.0,1.0,,
2017-02-27T02:00:00.000+01:00,38.32,1.0,,
2017-02-21T17:00:00.000+01:00,51.16,1.0,,
2017-02-02T13:00:00.000+01:00,54.44,1.0,,
2017-02-21T10:00:00.000+01:00,57.68,1.0,,
2017-02-21T09:00:00.000+01:00,59.73,1.0,,
2017-02-09T17:00:00.000+01:00,66.51,1.0,,
2017-02-11T18:00:00.000+01:00,53.71,1.0,,
2017-02-25T01:00:00.000+01:00,48.69,1.0,,
2017-02-10T11:00:00.000+01:00,73.01,1.0,,
2017-02-13T16:00:00.000+01:00,49.83,1.0,,
2017-02-11T21:00:00.000+01:00,53.71,1.0,,
2017-02-25T17:00:00.000+01:00,47.63,1.0,,
2017-02-26T02:00:00.000+01:00,46.28,1.0,,
2017-02-02T04:00:00.000+01:00,31.05,1.0,,
2017-02-20T14:00:00.000+01:00,54.98,1.0,,
2017-02-09T13:00:00.000+01:00,65.64,1.0,,
2017-02-14T19:00:00.000+01:00,67.89,1.0,,
2017-02-17T13:00:00.000+01:00,62.15,1.0,,
2017-02-01T08:00:00.000+01:00,78.64,1.0,,
2017-02-10T06:00:00.000+01:00,53.67,1.0,,
2017-02-20T10:00:00.000+01:00,61.69,1.0,,
2017-02-23T13:00:00.000+01:00,58.15,1.0,,
