Fecha,Valor_Mercado_Spot,Porcentaje_Mercado_Spot,PVPC_Valor,PVPC_Porcentaje
2016-12-24T05:00:00.000+01:00,44.69,1.0,,
2016-12-10T11:00:00.000+01:00,62.1,1.0,,
2016-12-24T01:00:00.000+01:00,52.79,1.0,,
2016-12-15T14:00:00.000+01:00,70.15,1.0,,
2016-12-29T00:00:00.000+01:00,51.0,1.0,,
2016-12-05T05:00:00.000+01:00,44.25,1.0,,
2016-12-10T16:00:00.000+01:00,60.07,1.0,,
2016-12-10T09:00:00.000+01:00,59.26,1.0,,
2016-12-31T23:00:00.000+01:00,61.77,1.0,,
2016-12-07T07:00:00.000+01:00,69.94,1.0,,
2016-12-30T21:00:00.000+01:00,70.04,1.0,,
2016-12-15T23:00:00.000+01:00,62.04,1.0,,
2016-12-25T13:00:00.000+01:00,47.85,1.0,,
2016-12-26T15:00:00.000+01:00,49.29,1.0,,
2016-12-30T11:00:00.000+01:00,65.69,1.0,,
2016-12-01T13:00:00.000+01:00,68.84,1.0,,
2016-12-08T13:00:00.000+01:00,52.2,1.0,,
2016-12-02T16:00:00.000+01:00,68.56,1.0,,
2016-12-11T10:00:00.000+01:00,62.48,1.0,,
2016-12-01T11:00:00.000+01:00,67.84,1.0,,
2016-12-07T14:00:00.000+01:00,64.1,1.0,,
2016-12-13T05:00:00.000+01:00,57.77,1.0,,
2016-12-17T17:00:00.000+01:00,61.01,1.0,,
2016-12-06T10:00:00.000+01:00,67.0,1.0,,
2016-12-17T12:00:00.000+01:00,57.71,1.0,,
2016-12-01T06:00:00.000+01:00,58.26,1.0,,
2016-12-05T06:00:00.000+01:00,53.0,1.0,,
2016-12-04T08:00:00.000+01:00,42.37,1.0,,
2016-12-18T21:00:00.000+01:00,70.0,1.0,,
2016-12-26T10:00:00.000+01:00,59.58,1.0,,
2016-12-20T18:00:00.000+01:00,70.95,1.0,,
2016-12-29T17:00:00.000+01:00,64.1,1.0,,
2016-12-17T21:00:00.000+01:00,62.51,1.0,,
2016-12-16T21:00:00.000+01:00,66.84,1.0,,
2016-12-16T23:00:00.000+01:00,61.63,1.0,,
2016-12-06T22:00:00.000+01:00,65.26,1.0,,
2016-12-13T18:00:00.000+01:00,70.99,1.0,,
2016-12-21T06:00:00.000+01:00,58.23,1.0,,
2016-12-02T11:00:00.000+01:00,68.25,1.0,,
2016-12-01T10:00:00.000+01:00,68.0,1.0,,
2016-12-22T12:00:00.000+01:00,68.5,1.0,,
2016-12-25T21:00:00.000+01:00,70.11,1.0,,
2016-12-23T06:00:00.000+01:00,57.71,1.0,,
2016-12-02T21:00:00.000+01:00,65.0,1.0,,
2016-12-04T20:00:00.000+01:00,63.05,1.0,,
2016-12-11T19:00:00.000+01:00,70.0,1.0,,
2016-12-27T08:00:00.000+01:00,67.9,1.0,,
2016-12-22T15:00:00.000+01:00,68.14,1.0,,
2016-12-24T23:00:00.000+01:00,57.71,1.0,,
2016-12-08T16:00:00.000+01:00,51.63,1.0,,
2016-12-14T05:00:00.000+01:00,49.5,1.0,,
2016-12-02T15:00:00.000+01:00,67.83,1.0,,
2016-12-02T08:00:00.000+01:00,71.61,1.0,,
2016-12-23T03:00:00.000+01:00,50.29,1.0,,
2016-12-22T08:00:00.000+01:00,72.44,1.0,,
2016-12-25T10:00:00.000+01:00,45.98,1.0,,
2016-12-27T02:00:00.000+01:00,44.82,1.0,,
2016-12-10T05:00:00.000+01:00,44.95,1.0,,
2016-12-12T13:00:00.000+01:00,68.33,1.0,,
2016-12-30T02:00:00.000+01:00,49.73,1.0,,
2016-12-14T08:00:00.000+01:00,71.59,1.0,,
2016-12-01T00:00:00.000+01:00,58.23,1.0,,
2016-12-26T13:00:00.000+01:00,54.0,1.0,,
2016-12-24T02:00:00.000+01:00,47.85,1.0,,
2016-12-29T15:00:00.000+01:00,60.15,1.0,,
2016-12-07T08:00:00.000+01:00,70.0,1.0,,
2016-12-31T22:00:00.000+01:00,65.69,1.0,,
2016-12-01T04:00:00.000+01:00,50.39,1.0,,
2016-12-08T23:00:00.000+01:00,51.54,1.0,,
2016-12-29T05:00:00.000+01:00,43.42,1.0,,
2016-12-26T02:00:00.000+01:00,45.44,1.0,,
2016-12-17T09:00:00.000+01:00,57.02,1.0,,
2016-12-23T13:00:00.000+01:00,68.56,1.0,,
2016-12-11T13:00:00.000+01:00,63.65,1.0,,
2016-12-03T13:00:00.000+01:00,57.71,1.0,,
2016-12-02T19:00:00.000+01:00,70.0,1.0,,
2016-12-25T23:00:00.000+01:00,64.88,1.0,,
2016-12-26T06:00:00.000+01:00,45.44,1.0,,
2016-12-22T14:00:00.000+01:00,68.5,1.0,,
2016-12-15T21:00:00.000+01:00,64.44,1.0,,
2016-12-17T19:00:00.000+01:00,69.28,1.0,,
2016-12-14T09:00:00.000+01:00,72.22,1.0,,
2016-12-05T20:00:00.000+01:00,70.15,1.0,,
2016-12-04T09:00:00.000+01:00,44.25,1.0,,
2016-12-25T22:00:00.000+01:00,69.98,1.0,,
2016-12-04T18:00:00.000+01:00,58.23,1.0,,
2016-12-14T11:00:00.000+01:00,70.69,1.0,,
2016-12-30T04:00:00.000+01:00,46.25,1.0,,
2016-12-29T08:00:00.000+01:00,62.4,1.0,,
2016-12-19T17:00:00.000+01:00,70.15,1.0,,
2016-12-21T07:00:00.000+01:00,67.49,1.0,,
2016-12-13T10:00:00.000+01:00,70.99,1.0,,
2016-12-06T11:00:00.000+01:00,66.91,1.0,,
2016-12-28T22:00:00.000+01:00,64.88,1.0,,
2016-12-11T07:00:00.000+01:00,51.68,1.0,,
2016-12-18T15:00:00.000+01:00,52.77,1.0,,
2016-12-23T20:00:00.000+01:00,69.99,1.0,,
2016-12-21T03:00:00.000+01:00,48.81,1.0,,
2016-12-21T09:00:00.000+01:00,70.69,1.0,,
2016-12-28T00:00:00.000+01:00,56.0,1.0,,
2016-12-23T19:00:00.000+01:00,70.05,1.0,,
2016-12-03T21:00:00.000+01:00,54.81,1.0,,
2016-12-23T23:00:00.000+01:00,66.1,1.0,,
2016-12-01T08:00:00.000+01:00,68.33,1.0,,
2016-12-17T00:00:00.000+01:00,59.52,1.0,,
2016-12-04T11:00:00.000+01:00,48.0,1.0,,
2016-12-05T04:00:00.000+01:00,43.61,1.0,,
2016-12-06T13:00:00.000+01:00,65.42,1.0,,
2016-12-06T09:00:00.000+01:00,65.31,1.0,,
2016-12-03T11:00:00.000+01:00,59.58,1.0,,
2016-12-05T18:00:00.000+01:00,70.59,1.0,,
2016-12-12T19:00:00.000+01:00,74.11,1.0,,
2016-12-17T23:00:00.000+01:00,53.93,1.0,,
2016-12-14T04:00:00.000+01:00,45.52,1.0,,
2016-12-27T14:00:00.000+01:00,65.2,1.0,,
2016-12-14T12:00:00.000+01:00,70.15,1.0,,
2016-12-21T17:00:00.000+01:00,72.69,1.0,,
2016-12-13T16:00:00.000+01:00,68.75,1.0,,
2016-12-04T13:00:00.000+01:00,49.6,1.0,,
2016-12-24T17:00:00.000+01:00,58.75,1.0,,
2016-12-24T16:00:00.000+01:00,51.68,1.0,,
2016-12-31T05:00:00.000+01:00,46.22,1.0,,
2016-12-03T23:00:00.000+01:00,50.1,1.0,,
2016-12-24T12:00:00.000+01:00,60.1,1.0,,
2016-12-11T01:00:00.000+01:00,62.39,1.0,,
2016-12-19T23:00:00.000+01:00,66.16,1.0,,
2016-12-26T00:00:00.000+01:00,58.23,1.0,,
2016-12-12T15:00:00.000+01:00,68.33,1.0,,
2016-12-01T22:00:00.000+01:00,69.65,1.0,,
2016-12-17T15:00:00.000+01:00,50.68,1.0,,
2016-12-05T07:00:00.000+01:00,66.57,1.0,,
2016-12-28T20:00:00.000+01:00,69.69,1.0,,
2016-12-19T19:00:00.000+01:00,72.25,1.0,,
2016-12-03T02:00:00.000+01:00,51.1,1.0,,
2016-12-06T05:00:00.000+01:00,52.2,1.0,,
2016-12-11T02:00:00.000+01:00,58.23,1.0,,
2016-12-15T06:00:00.000+01:00,66.62,1.0,,
2016-12-11T09:00:00.000+01:00,58.58,1.0,,
2016-12-16T03:00:00.000+01:00,48.6,1.0,,
2016-12-21T10:00:00.000+01:00,70.2,1.0,,
2016-12-12T03:00:00.000+01:00,49.0,1.0,,
2016-12-19T06:00:00.000+01:00,57.5,1.0,,
2016-12-16T14:00:00.000+01:00,64.88,1.0,,
2016-12-10T20:00:00.000+01:00,68.56,1.0,,
2016-12-10T12:00:00.000+01:00,60.15,1.0,,
2016-12-08T08:00:00.000+01:00,59.2,1.0,,
2016-12-09T16:00:00.000+01:00,56.35,1.0,,
2016-12-30T20:00:00.000+01:00,70.6,1.0,,
2016-12-27T04:00:00.000+01:00,43.56,1.0,,
2016-12-19T18:00:00.000+01:00,71.65,1.0,,
2016-12-18T01:00:00.000+01:00,47.0,1.0,,
2016-12-02T12:00:00.000+01:00,67.44,1.0,,
2016-12-04T21:00:00.000+01:00,64.99,1.0,,
2016-12-07T10:00:00.000+01:00,68.33,1.0,,
2016-12-06T14:00:00.000+01:00,66.1,1.0,,
2016-12-15T15:00:00.000+01:00,70.06,1.0,,
2016-12-17T05:00:00.000+01:00,44.2,1.0,,
2016-12-31T04:00:00.000+01:00,46.22,1.0,,
2016-12-23T22:00:00.000+01:00,68.11,1.0,,
2016-12-09T23:00:00.000+01:00,52.95,1.0,,
2016-12-02T05:00:00.000+01:00,61.19,1.0,,
2016-12-01T23:00:00.000+01:00,68.42,1.0,,
2016-12-03T22:00:00.000+01:00,53.0,1.0,,
2016-12-13T07:00:00.000+01:00,70.51,1.0,,
2016-12-07T03:00:00.000+01:00,50.19,1.0,,
2016-12-12T18:00:00.000+01:00,73.6,1.0,,
2016-12-24T18:00:00.000+01:00,67.48,1.0,,
2016-12-24T03:00:00.000+01:00,45.76,1.0,,
2016-12-29T22:00:00.000+01:00,66.21,1.0,,
2016-12-23T15:00:00.000+01:00,66.55,1.0,,
2016-12-16T22:00:00.000+01:00,62.48,1.0,,
2016-12-20T08:00:00.000+01:00,71.5,1.0,,
2016-12-19T08:00:00.000+01:00,73.49,1.0,,
2016-12-25T15:00:00.000+01:00,45.76,1.0,,
2016-12-12T16:00:00.000+01:00,69.3,1.0,,
2016-12-16T16:00:00.000+01:00,69.46,1.0,,
2016-12-29T12:00:00.000+01:00,61.78,1.0,,
2016-12-13T01:00:00.000+01:00,64.99,1.0,,
2016-12-14T20:00:00.000+01:00,71.2,1.0,,
2016-12-14T07:00:00.000+01:00,69.61,1.0,,
2016-12-23T09:00:00.000+01:00,70.51,1.0,,
2016-12-23T17:00:00.000+01:00,68.5,1.0,,
2016-12-06T02:00:00.000+01:00,57.71,1.0,,
2016-12-23T21:00:00.000+01:00,69.99,1.0,,
2016-12-06T15:00:00.000+01:00,66.57,1.0,,
2016-12-19T15:00:00.000+01:00,70.15,1.0,,
2016-12-25T12:00:00.000+01:00,47.51,1.0,,
2016-12-14T17:00:00.000+01:00,70.0,1.0,,
2016-12-09T21:00:00.000+01:00,60.7,1.0,,
2016-12-28T19:00:00.000+01:00,69.73,1.0,,
2016-12-10T21:00:00.000+01:00,68.1,1.0,,
2016-12-05T16:00:00.000+01:00,67.63,1.0,,
2016-12-14T23:00:00.000+01:00,62.45,1.0,,
2016-12-21T13:00:00.000+01:00,67.49,1.0,,
2016-12-11T15:00:00.000+01:00,60.15,1.0,,
