Pais,TipoIntercambio,FechaCompleta,Porcentaje,Valor,Fecha
francia,Exportación,2019-01-01T00:00:00.000+01:00,0.025886346977354268,-1610.4,2019-01-01T00:00:00.000+01:00
francia,Exportación,2019-01-02T00:00:00.000+01:00,0.09827255331578458,-7082.1,2019-01-02T00:00:00.000+01:00
francia,Exportación,2019-01-03T00:00:00.000+01:00,0.24652994201166642,-11470.2,2019-01-03T00:00:00.000+01:00
francia,Exportación,2019-01-04T00:00:00.000+01:00,0.40267568699086237,-19332.5,2019-01-04T00:00:00.000+01:00
francia,Exportación,2019-01-05T00:00:00.000+01:00,0.14110762456937845,-6525.0,2019-01-05T00:00:00.000+01:00
francia,Exportación,2019-01-06T00:00:00.000+01:00,0.041078567746077446,-2111.5,2019-01-06T00:00:00.000+01:00
francia,Exportación,2019-01-07T00:00:00.000+01:00,0.504814128604363,-26320.1,2019-01-07T00:00:00.000+01:00
francia,Exportación,2019-01-08T00:00:00.000+01:00,0.09116154093752561,-4559.8,2019-01-08T00:00:00.000+01:00
francia,Exportación,2019-01-09T00:00:00.000+01:00,0.151592335200054,-7189.6,2019-01-09T00:00:00.000+01:00
francia,Exportación,2019-01-10T00:00:00.000+01:00,0.9036336378441925,-41891.1,2019-01-10T00:00:00.000+01:00
francia,Exportación,2019-01-11T00:00:00.000+01:00,0.7313838724532341,-35258.7,2019-01-11T00:00:00.000+01:00
francia,Exportación,2019-01-12T00:00:00.000+01:00,0.08506511417722559,-5797.8,2019-01-12T00:00:00.000+01:00
francia,Exportación,2019-01-13T00:00:00.000+01:00,0.14057094704473552,-9508.5,2019-01-13T00:00:00.000+01:00
francia,Exportación,2019-01-14T00:00:00.000+01:00,0.1716930488290973,-10036.3,2019-01-14T00:00:00.000+01:00
francia,Exportación,2019-01-15T00:00:00.000+01:00,0.08464454475509928,-5126.7,2019-01-15T00:00:00.000+01:00
francia,Exportación,2019-01-16T00:00:00.000+01:00,0.024846318955698974,-1361.3,2019-01-16T00:00:00.000+01:00
francia,Exportación,2019-01-17T00:00:00.000+01:00,0.07468226576066314,-4502.9,2019-01-17T00:00:00.000+01:00
francia,Exportación,2019-01-18T00:00:00.000+01:00,0.34685487136074206,-18847.4,2019-01-18T00:00:00.000+01:00
francia,Exportación,2019-01-19T00:00:00.000+01:00,0.40259361167603785,-16826.4,2019-01-19T00:00:00.000+01:00
francia,Exportación,2019-01-20T00:00:00.000+01:00,0.754832942463218,-35887.4,2019-01-20T00:00:00.000+01:00
francia,Exportación,2019-01-21T00:00:00.000+01:00,0.8076418948068059,-39127.1,2019-01-21T00:00:00.000+01:00
francia,Exportación,2019-01-22T00:00:00.000+01:00,0.9189722012728403,-41673.0,2019-01-22T00:00:00.000+01:00
francia,Exportación,2019-01-23T00:00:00.000+01:00,0.9942926380443076,-56950.0,2019-01-23T00:00:00.000+01:00
francia,Exportación,2019-01-24T00:00:00.000+01:00,0.9998130358526011,-56150.0,2019-01-24T00:00:00.000+01:00
francia,Exportación,2019-01-25T00:00:00.000+01:00,0.8830969801406819,-50017.2,2019-01-25T00:00:00.000+01:00
francia,Exportación,2019-01-26T00:00:00.000+01:00,0.03138053267640954,-2054.7,2019-01-26T00:00:00.000+01:00
francia,Exportación,2019-01-27T00:00:00.000+01:00,0.21549723039277308,-10286.2,2019-01-27T00:00:00.000+01:00
francia,Exportación,2019-01-28T00:00:00.000+01:00,0.5585565804502453,-26456.2,2019-01-28T00:00:00.000+01:00
francia,Exportación,2019-01-29T00:00:00.000+01:00,0.7337096452419232,-31260.8,2019-01-29T00:00:00.000+01:00
francia,Exportación,2019-01-30T00:00:00.000+01:00,0.7989417532714153,-27767.7,2019-01-30T00:00:00.000+01:00
francia,Exportación,2019-01-31T00:00:00.000+01:00,0.9082281056300777,-53570.2,2019-01-31T00:00:00.000+01:00
francia,Exportación,2019-02-01T00:00:00.000+01:00,0.9880655737704919,-53491.4,2019-02-01T00:00:00.000+01:00
francia,Exportación,2019-02-02T00:00:00.000+01:00,0.8646900769972615,-50299.8,2019-02-02T00:00:00.000+01:00
francia,Exportación,2019-02-03T00:00:00.000+01:00,0.3660146276562426,-14607.9,2019-02-03T00:00:00.000+01:00
francia,Exportación,2019-02-04T00:00:00.000+01:00,0.24083216310902283,-19825.4,2019-02-04T00:00:00.000+01:00
francia,Exportación,2019-02-05T00:00:00.000+01:00,0.13654953149221458,-6914.8,2019-02-05T00:00:00.000+01:00
francia,Exportación,2019-02-06T00:00:00.000+01:00,0.03174667624913886,-2345.6,2019-02-06T00:00:00.000+01:00
francia,Exportación,2019-02-07T00:00:00.000+01:00,0.0301925277483965,-2232.2,2019-02-07T00:00:00.000+01:00
francia,Exportación,2019-02-09T00:00:00.000+01:00,0.03188028627195836,-2450.0,2019-02-09T00:00:00.000+01:00
francia,Exportación,2019-02-10T00:00:00.000+01:00,0.058180780060194094,-3118.1,2019-02-10T00:00:00.000+01:00
francia,Exportación,2019-02-11T00:00:00.000+01:00,0.07241164785067038,-5784.8,2019-02-11T00:00:00.000+01:00
francia,Exportación,2019-02-12T00:00:00.000+01:00,0.052893242519753636,-3764.1,2019-02-12T00:00:00.000+01:00
francia,Exportación,2019-02-13T00:00:00.000+01:00,0.03024734867818746,-1866.7,2019-02-13T00:00:00.000+01:00
francia,Exportación,2019-02-14T00:00:00.000+01:00,0.10666184129050038,-6425.0,2019-02-14T00:00:00.000+01:00
francia,Exportación,2019-02-15T00:00:00.000+01:00,0.016088171755640184,-1155.8,2019-02-15T00:00:00.000+01:00
francia,Exportación,2019-02-16T00:00:00.000+01:00,0.022702943677436575,-1650.0,2019-02-16T00:00:00.000+01:00
francia,Exportación,2019-02-17T00:00:00.000+01:00,0.02570183032401682,-1662.6,2019-02-17T00:00:00.000+01:00
francia,Exportación,2019-02-18T00:00:00.000+01:00,0.03572613492775005,-2530.5,2019-02-18T00:00:00.000+01:00
francia,Exportación,2019-02-19T00:00:00.000+01:00,0.004784688995215311,-350.0,2019-02-19T00:00:00.000+01:00
francia,Exportación,2019-02-20T00:00:00.000+01:00,0.008814865549634432,-633.2,2019-02-20T00:00:00.000+01:00
francia,Exportación,2019-02-21T00:00:00.000+01:00,0.023468305923240767,-1711.1,2019-02-21T00:00:00.000+01:00
francia,Exportación,2019-02-22T00:00:00.000+01:00,0.023133248874295284,-1700.0,2019-02-22T00:00:00.000+01:00
francia,Exportación,2019-02-23T00:00:00.000+01:00,0.06208260826131945,-5033.9,2019-02-23T00:00:00.000+01:00
francia,Exportación,2019-02-24T00:00:00.000+01:00,0.03130313927130302,-2166.7,2019-02-24T00:00:00.000+01:00
francia,Exportación,2019-02-25T00:00:00.000+01:00,0.028742822601154516,-2249.1,2019-02-25T00:00:00.000+01:00
francia,Exportación,2019-02-26T00:00:00.000+01:00,0.04240990148161868,-3365.9,2019-02-26T00:00:00.000+01:00
francia,Exportación,2019-02-27T00:00:00.000+01:00,0.004071674266058715,-305.4,2019-02-27T00:00:00.000+01:00
francia,Exportación,2019-02-28T00:00:00.000+01:00,0.04100946372239748,-3250.0,2019-02-28T00:00:00.000+01:00
francia,Exportación,2019-03-01T00:00:00.000+01:00,0.02684250086111634,-2096.3,2019-03-01T00:00:00.000+01:00
francia,Exportación,2019-03-02T00:00:00.000+01:00,0.11252555663971639,-9433.4,2019-03-02T00:00:00.000+01:00
francia,Exportación,2019-03-03T00:00:00.000+01:00,0.06582590950346574,-4554.6,2019-03-03T00:00:00.000+01:00
francia,Exportación,2019-03-04T00:00:00.000+01:00,0.0916567083525333,-7140.8,2019-03-04T00:00:00.000+01:00
